gene_id,Mmus_C57-6J_KDN_FLT_Rep1_M23,Mmus_C57-6J_KDN_FLT_Rep2_M24,Mmus_C57-6J_KDN_FLT_Rep3_M25,Mmus_C57-6J_KDN_FLT_Rep4_M26,Mmus_C57-6J_KDN_FLT_Rep5_M27,Mmus_C57-6J_KDN_FLT_Rep6_M28,Mmus_C57-6J_KDN_GC_Rep1_M33,Mmus_C57-6J_KDN_GC_Rep2_M34,Mmus_C57-6J_KDN_GC_Rep3_M35,Mmus_C57-6J_KDN_GC_Rep4_M36,Mmus_C57-6J_KDN_GC_Rep5_M37,Mmus_C57-6J_KDN_GC_Rep6_M38
ENSMUSG00000049287,669.9630087,644.6394109,651.916116,515.0722991,514.4977282,540.1310012,619.5656387,682.1690726,708.1217345,712.3683153,663.2772963,581.9003619
ENSMUSG00000049288,283.5642216,317.1738987,300.0475709,374.1183835,383.7085824,402.6103943,446.4885417,447.9473376,319.7941526,421.9763803,349.258503,408.0069447
ENSMUSG00000049295,1265.258422,1213.007118,1249.590956,1136.26037,1144.21292,1302.999114,1379.962615,1303.48083,1207.253857,1150.820303,1227.574838,1217.527571
ENSMUSG00000049299,674.6424346,590.5750475,592.3663494,601.6583329,576.318444,603.252571,497.5261817,544.193055,628.3475212,540.0789019,508.6483667,526.1991746
ENSMUSG00000049300,465.872044,424.0190688,435.6937087,419.7009184,396.9875303,389.3105705,399.4440714,413.0329288,353.7915852,415.138629,350.9587749,473.7039737
ENSMUSG00000049303,333.5686439,481.8998103,259.514556,290.0438281,284.281338,240.7284359,196.5832771,310.8758387,370.0623534,309.2888207,294.4074035,395.454067
ENSMUSG00000049305,1137.723101,1178.88386,995.7797459,922.2052747,1137.486925,977.862521,1040.43341,1139.820478,1081.544382,1100.749724,1075.061548,1030.807551
ENSMUSG00000049307,186.4252353,151.7070615,177.9822512,162.6003951,158.6647532,157.0096541,189.9613076,198.5211949,176.1450833,185.2116006,163.3348926,148.0522468
ENSMUSG00000049313,17002.00957,14794.67235,18755.77682,13566.25136,16497.31012,14940.98523,17268.40529,15715.24503,14937.85542,14708.97518,17862.00978,12756.08454
ENSMUSG00000049321,168.4062167,213.511318,184.0151463,194.9817339,218.8409876,201.6471744,249.8108743,183.6764558,231.396119,184.6149523,161.3484037,216.4477014
ENSMUSG00000049323,3157.847834,3047.363816,2868.961398,2616.605135,2593.649259,2526.421019,3066.963136,2851.305159,3250.827605,2786.829006,2807.730344,3045.134576
ENSMUSG00000049327,2915.842409,3164.746568,2188.472868,2968.57672,2459.650956,2370.434782,2394.821852,2439.213566,2485.859432,2576.527931,1988.123671,2426.97753
ENSMUSG00000049336,279.7857072,173.6181883,308.0987352,155.6658079,408.3199627,212.4441548,488.669471,281.234344,294.0023154,232.7719318,440.2364973,296.6918078
ENSMUSG00000049339,5194.500127,4431.032896,4021.75973,3670.495244,3678.159774,3946.009343,3713.151639,4300.112257,4449.287101,4501.85497,4270.512547,3956.971589
ENSMUSG00000049353,13.03173449,6.890180586,5.504001648,16.99441196,9.448217296,9.813648383,8.891005994,0.702302051,13.50185977,6.001526793,6.481232556,6.206689
ENSMUSG00000049354,4360.642037,4453.615171,4363.630178,4138.778934,3629.875015,4154.236428,4495.101996,4658.881822,4205.083981,4324.87987,3872.836446,3987.645278
ENSMUSG00000049357,11.43041764,12.92811062,16.17067586,13.02609035,19.49239299,20.60792862,19.84780293,3.012153966,11.39262693,22.00475079,19.44199007,21.24146107
ENSMUSG00000049382,3967.956964,3433.220457,4101.394323,3099.9537,3097.527395,3532.873164,3078.134248,3580.768321,3030.319835,3167.914432,3301.939398,2699.290374
ENSMUSG00000049396,393.9440205,302.3286438,430.0849165,292.257571,340.7819443,406.7385393,354.1893673,493.3334145,454.013087,365.7591086,280.9547386,470.6900636
ENSMUSG00000049401,987.0095063,1002.036394,979.7112754,1168.913981,982.4934662,932.7201605,944.0068259,1071.261473,934.3830313,946.3582664,1047.418582,1054.22807
ENSMUSG00000049404,22.19681828,30.07413597,32.08973223,29.88936119,35.2820107,35.95405175,43.32051684,53.12662351,45.38631225,35.06693616,27.74428445,38.30387271
ENSMUSG00000049409,21.52423655,26.78879933,16.74397769,26.6155482,29.97664853,36.02502729,40.70586484,18.90375872,31.34990673,42.13926528,18.48616173,20.46601343
ENSMUSG00000049410,5.286751611,4.456475848,2.469007138,7.212932431,5.424952797,11.98725577,9.507568197,11.24121193,7.387646177,4.870982269,3.962854789,5.03931183
